Title,Original Airdate,Production Code,#
Mow Money,2011-04-30 30 April 2011,201A,41
Love Stinks!,2011-04-30 30 April 2011,201B,42
Kickin' Genes,2011-05-07 7 May 2011,204A,43
Clothes Call,2011-05-07 7 May 2011,204B,44
Clean... To The Extreme,2011-05-14 14 May 2011,202A,45
Stand and Delivery,2011-05-14 14 May 2011,202B,46
Switching Gears,2011-05-21 21 May 2011,203A,47
Garage Banned,2011-05-21 21 May 2011,203B,48
Truth or Daredevil,2011-06-19 19 June 2011,207,49
Sold!,2011-06-25 25 June 2011,206A,50
Faceplant!,2011-06-25 25 June 2011,206B,51
Stumped Again,2011-07-09 9 July 2011,208A,52
The Kick Stays in the Picture,2011-07-09 9 July 2011,208B,53
Hand in Hand,2011-07-16 16 July 2011,209A,54
Luigi Vendetta,2011-07-16 16 July 2011,209B,55
Pool Daze,2011-07-25 25 July 2011,205A,56
Live In Wade,2011-07-25 25 July 2011,205B,57
Kart to Kart,2011-08-06 6 August 2011,211A,58
Kyle 2.0,2011-08-06 6 August 2011,211B,59
Gym Dandy,2011-09-23 23 September 2011,213A,60
Detained,2011-09-23 23 September 2011,213B,61
Sleepover,2011-10-15 15 October 2011,212B,62
You've Been Brad'd!,2011-10-22 22 October 2011,212A,63
Kick or Treat,2011-10-24 24 October 2011,210A,64
Dead Man's Roller Coaster,2011-10-24 24 October 2011,210B,65
Brad's Room,2011-10-29 29 October 2011,214A,66
"Dude, Where's My Wade?",2011-11-05 5 November 2011,214B,67
Sister Pact,2011-11-12 12 November 2011,215A,68
Shh!,2011-11-19 19 November 2011,215B,69
K-Nein,2011-12-03 3 December 2011,218A,70
A Cousin Kyle Christmas,2011-12-06 6 December 2011,216A,71
Snow Problem,2011-12-06 6 December 2011,216B,72
Free Gunther,2012-01-14 14 January 2012,219B,73
Power Play,2012-01-21 21 January 2012,217B,74
Attic-a,2012-01-28 28 January 2012,219A,75
Jock Wilder's Nature Camp,2012-02-04 4 February 2012,221B,76
Swap Meet,2012-02-11 11 February 2012,220A,77
Trash Talk,2012-02-18 18 February 2012,222A,78
Poll Position,2012-03-10 10 March 2012,221A,79
Bad Car-ma,2012-03-17 17 March 2012,223B,80
Bromance,2012-03-24 24 March 2012,218B,81
Bwar and Peace,2011-04-07 7 April 2011,225,82
Bad Table Manners,2012-05-05 5 May 2012,224A,83
Pinch Sitter,2012-05-13 13 May 2012,227B,84
Bee Awesome!,2012-05-19 19 May 2012,220B,85
Brad's Diary,2012-06-23 23 June 2012,226A,86
Nerves of Steal,2012-06-30 30 June 2012,222B,87
Sew What,2012-07-07 7 July 2012,226B,88
Big Mouth,2012-07-14 14 July 2012,229A,89
Sleepy River Wild,2012-07-21 21 July 2012,217A,90
Stay Cool,2012-07-21 21 July 2012,228B,91
Roll Reversal,2012-07-28 28 July 2012,232B,92
Meathead Justice,2012-08-04 4 August 2012,231A,93
Kyle E. Coyote,2012-09-22 22 September 2012,230A,94
Locked Out,2012-09-22 22 September 2012,230B,95
Rocked,2012-09-22 22 September 2012,230C,96
Bwar-Mart,2012-09-29 29 September 2012,231B,97
Say Cheese,2012-10-06 6 October 2012,227A,98
Petrified!,2012-10-13 13 October 2012,224B,99
Only the Loan-ly,2012-10-28 28 October 2012,232A,100
Crumbs!,2012-11-04 4 November 2012,228A,101
"Goodbye, Gully",2012-12-02 2 December 2012,223A,102
Last Fan Standing,2012-12-02 2 December 2012,229B,103
