#,Date,Hits,Unnamed: 3,Posts,Unnamed: 5
1.0,03/19/2015 Thursday,2.0,40%,0.0,0%
2.0,02/13/2015 Friday,1.0,20%,0.0,0%
3.0,02/09/2015 Monday,1.0,20%,0.0,0%
4.0,11/13/2014 Thursday,1.0,20%,0.0,0%
5.0,10/27/2014 Monday,1.0,20%,0.0,0%
6.0,08/11/2014 Monday,1.0,20%,0.0,0%
7.0,08/07/2014 Thursday,1.0,20%,0.0,0%
8.0,04/14/2014 Monday,1.0,20%,0.0,0%
9.0,04/04/2014 Friday,1.0,20%,0.0,0%
10.0,12/18/2013 Wednesday,1.0,20%,0.0,0%
11.0,12/15/2013 Sunday,1.0,20%,0.0,0%
12.0,12/14/2013 Saturday,1.0,20%,0.0,0%
13.0,10/31/2013 Thursday,1.0,20%,0.0,0%
14.0,08/29/2013 Thursday,1.0,20%,0.0,0%
15.0,08/16/2013 Friday,1.0,20%,0.0,0%
16.0,07/22/2013 Monday,1.0,20%,0.0,0%
17.0,06/25/2013 Tuesday,1.0,20%,0.0,0%
18.0,05/30/2013 Thursday,1.0,20%,0.0,0%
19.0,05/13/2013 Monday,2.0,40%,0.0,0%
20.0,03/28/2013 Thursday,3.0,60%,0.0,0%
21.0,03/21/2013 Thursday,1.0,20%,0.0,0%
22.0,02/28/2013 Thursday,1.0,20%,0.0,0%
23.0,02/18/2013 Monday,1.0,20%,0.0,0%
24.0,02/07/2013 Thursday,1.0,20%,0.0,0%
25.0,01/29/2013 Tuesday,1.0,20%,0.0,0%
26.0,01/07/2013 Monday,2.0,40%,0.0,0%
27.0,12/15/2012 Saturday,1.0,20%,0.0,0%
28.0,12/05/2012 Wednesday,1.0,20%,0.0,0%
29.0,11/23/2012 Friday,1.0,20%,0.0,0%
30.0,11/10/2012 Saturday,1.0,20%,0.0,0%
31.0,10/28/2012 Sunday,1.0,20%,0.0,0%
32.0,10/16/2012 Tuesday,1.0,20%,0.0,0%
33.0,10/15/2012 Monday,1.0,20%,0.0,0%
34.0,10/09/2012 Tuesday,1.0,20%,0.0,0%
35.0,09/17/2012 Monday,2.0,40%,0.0,0%
36.0,09/12/2012 Wednesday,1.0,20%,0.0,0%
37.0,09/06/2012 Thursday,3.0,60%,0.0,0%
38.0,07/25/2012 Wednesday,1.0,20%,0.0,0%
39.0,06/25/2012 Monday,1.0,20%,0.0,0%
40.0,06/19/2012 Tuesday,1.0,20%,0.0,0%
41.0,05/03/2012 Thursday,1.0,20%,0.0,0%
42.0,04/23/2012 Monday,1.0,20%,0.0,0%
43.0,04/22/2012 Sunday,2.0,40%,0.0,0%
44.0,03/11/2012 Sunday,1.0,20%,0.0,0%
45.0,03/01/2012 Thursday,2.0,40%,0.0,0%
46.0,02/25/2012 Saturday,1.0,20%,0.0,0%
47.0,02/24/2012 Friday,3.0,60%,0.0,0%
48.0,02/21/2012 Tuesday,1.0,20%,0.0,0%
49.0,02/15/2012 Wednesday,1.0,20%,0.0,0%
50.0,02/02/2012 Thursday,2.0,40%,0.0,0%
51.0,01/26/2012 Thursday,1.0,20%,0.0,0%
52.0,01/19/2012 Thursday,2.0,40%,0.0,0%
53.0,01/15/2012 Sunday,1.0,20%,0.0,0%
54.0,01/12/2012 Thursday,1.0,20%,0.0,0%
55.0,01/09/2012 Monday,1.0,20%,0.0,0%
56.0,01/07/2012 Saturday,2.0,40%,0.0,0%
57.0,01/05/2012 Thursday,1.0,20%,0.0,0%
58.0,01/04/2012 Wednesday,1.0,20%,0.0,0%
59.0,01/02/2012 Monday,1.0,20%,0.0,0%
60.0,12/28/2011 Wednesday,1.0,20%,0.0,0%
61.0,12/19/2011 Monday,1.0,20%,0.0,0%
62.0,12/09/2011 Friday,1.0,20%,0.0,0%
63.0,12/08/2011 Thursday,2.0,40%,0.0,0%
64.0,11/28/2011 Monday,2.0,40%,0.0,0%
65.0,11/17/2011 Thursday,3.0,60%,0.0,0%
66.0,11/16/2011 Wednesday,1.0,20%,0.0,0%
67.0,11/15/2011 Tuesday,1.0,20%,0.0,0%
68.0,11/14/2011 Monday,1.0,20%,0.0,0%
69.0,11/11/2011 Friday,1.0,20%,0.0,0%
70.0,11/04/2011 Friday,1.0,20%,0.0,0%
71.0,11/02/2011 Wednesday,3.0,60%,0.0,0%
72.0,10/23/2011 Sunday,1.0,20%,0.0,0%
73.0,10/12/2011 Wednesday,1.0,20%,0.0,0%
74.0,10/10/2011 Monday,1.0,20%,0.0,0%
75.0,10/04/2011 Tuesday,3.0,60%,0.0,0%
76.0,09/26/2011 Monday,1.0,20%,0.0,0%
77.0,09/25/2011 Sunday,2.0,40%,0.0,0%
78.0,09/21/2011 Wednesday,2.0,40%,0.0,0%
79.0,09/13/2011 Tuesday,3.0,60%,0.0,0%
80.0,09/01/2011 Thursday,1.0,20%,0.0,0%
81.0,08/30/2011 Tuesday,2.0,40%,0.0,0%
82.0,08/18/2011 Thursday,1.0,20%,0.0,0%
83.0,08/08/2011 Monday,1.0,20%,0.0,0%
84.0,07/27/2011 Wednesday,1.0,20%,0.0,0%
85.0,07/23/2011 Saturday,2.0,40%,0.0,0%
86.0,07/22/2011 Friday,2.0,40%,0.0,0%
87.0,07/17/2011 Sunday,2.0,40%,0.0,0%
88.0,07/13/2011 Wednesday,2.0,40%,0.0,0%
89.0,07/12/2011 Tuesday,1.0,20%,0.0,0%
90.0,07/10/2011 Sunday,5.0,100%,0.0,0%
91.0,07/05/2011 Tuesday,1.0,20%,0.0,0%
92.0,07/02/2011 Saturday,1.0,20%,0.0,0%
93.0,06/30/2011 Thursday,1.0,20%,0.0,0%
94.0,06/26/2011 Sunday,1.0,20%,0.0,0%
95.0,06/25/2011 Saturday,1.0,20%,0.0,0%
96.0,06/22/2011 Wednesday,1.0,20%,0.0,0%
97.0,06/12/2011 Sunday,1.0,20%,0.0,0%
98.0,06/01/2011 Wednesday,1.0,20%,0.0,0%
99.0,05/31/2011 Tuesday,1.0,20%,0.0,0%
100.0,05/19/2011 Thursday,1.0,20%,0.0,0%
101.0,05/18/2011 Wednesday,1.0,20%,0.0,0%
102.0,05/15/2011 Sunday,1.0,20%,0.0,0%
103.0,05/11/2011 Wednesday,1.0,20%,0.0,0%
104.0,05/02/2011 Monday,1.0,20%,0.0,0%
105.0,04/26/2011 Tuesday,1.0,20%,0.0,0%
106.0,04/20/2011 Wednesday,2.0,40%,0.0,0%
107.0,04/17/2011 Sunday,1.0,20%,0.0,0%
108.0,04/16/2011 Saturday,1.0,20%,0.0,0%
109.0,04/12/2011 Tuesday,2.0,40%,0.0,0%
110.0,04/10/2011 Sunday,1.0,20%,0.0,0%
111.0,04/09/2011 Saturday,1.0,20%,0.0,0%
112.0,04/03/2011 Sunday,1.0,20%,0.0,0%
113.0,03/17/2011 Thursday,1.0,20%,0.0,0%
114.0,03/16/2011 Wednesday,1.0,20%,0.0,0%
115.0,03/14/2011 Monday,2.0,40%,0.0,0%
116.0,03/13/2011 Sunday,1.0,20%,0.0,0%
117.0,03/08/2011 Tuesday,3.0,60%,0.0,0%
