Patente citante,Fecha de presentaci�n,Fecha de publicaci�n,Solicitante,T�tulo
US6446044,31 Jul 2000,3 Sep 2002,Luth Research Inc.,Multi-layer surveying systems and methods with multi-layer incentives
US6460075 *,23 Ene 2001,1 Oct 2002,"Webtv Networks, Inc.",Browser-based email system with user interface for audio/video capture
US6628918 *,21 Feb 2001,30 Sep 2003,"Sri International, Inc.","System, method and computer program product for instant group learning feedback via image-based marking and aggregation"
US6674992 *,13 Ago 2001,6 Ene 2004,Ecollege.Com,On-line educational system for document sharing
US6684221 *,8 May 2000,27 Ene 2004,Oracle International Corporation,Uniform hierarchical information classification and mapping system
US6885844 *,21 Feb 2001,26 Abr 2005,Sri International,"System, method and computer program product for rapidly posing relevant questions to a group leader in an educational environment using networked thin client devices"
US6898621 *,10 Nov 1998,24 May 2005,Fujitsu Limited,Message processing device message management method and storage medium for storing message management program
US6963903,15 Ago 2002,8 Nov 2005,Microsoft Corporation,Browser-based email system with user interface for audio/video capture
US6965752,19 Ago 2003,15 Nov 2005,Ecollege.Com,On-line educational system having an electronic notebook feature
US6999961 *,24 Ago 2001,14 Feb 2006,Mark Hall,Method of aggregating and distributing informal and formal knowledge using software agents
US7000182 *,20 Ago 1999,14 Feb 2006,"Sun Microsystems, Inc.",assistant for creation of layouts or reports for databases
US7019741,23 Mar 2001,28 Mar 2006,General Electric Company,Methods and systems for simulating animation of web-based data files
US7020689 *,7 Mar 2003,28 Mar 2006,"Wegener Communications, Inc.",System and method for command transmission utilizing an email return path
US7062536,10 Oct 2002,13 Jun 2006,International Business Machines Corporation,Grouping electronic reply messages
US7143135 *,8 Feb 2002,28 Nov 2006,Microsoft Corporation,Automatic participant evaluation in computer mediated persistent conversations
US7153211 *,10 Jul 2001,26 Dic 2006,"Bect Power, Inc.",Method and system to optimize group achievement employing group members' collective intelligence
US7178096 *,2 Sep 2004,13 Feb 2007,"Yodlee.Com, Inc.",Method and apparatus for providing calculated and solution-oriented personalized summary-reports to a user through a single user-interface
US7231426 *,24 May 2000,12 Jun 2007,Microsoft Corporation,System and method for sending a web page via electronic mail
US7308480,19 Ago 2005,11 Dic 2007,Microsoft Corporation,Browser-based email system with user interface for audio/video capture
US7325036,19 Jul 2005,29 Ene 2008,"Wegener Communications, Inc.",System and method for command transmission utilizing an email return path
US7370032,30 Abr 2002,6 May 2008,Sap Ag,Data gathering
US7444374 *,27 Jun 2000,28 Oct 2008,Michelle Baker,Electronic mail software with modular integrated authoring/reading software components including methods and apparatus for controlling the interactivity between mail authors and recipients
US7451094 *,20 Ago 2001,11 Nov 2008,Royall & Company,Method for electronically surveying prospective candidates for admission to educational institutions and encouraging interest in attending
US7584251 *,24 Ago 2001,1 Sep 2009,Brown Scott T,E-mail messaging system and method for enhanced rich media delivery
US7653631,10 May 2002,26 Ene 2010,"Foundationip, Llc",Method for synchronizing information in multiple case management systems
US7653694 *,15 Dic 2004,26 Ene 2010,Microsoft Corporation,E-mail containing a web-based form
US7761287,23 Oct 2006,20 Jul 2010,Microsoft Corporation,Inferring opinions based on learned probabilities
US7774408 *,23 Abr 2002,10 Ago 2010,"Foundationip, Llc","Methods, systems, and emails to link emails to matters and organizations"
US7783974 *,26 Ene 2004,24 Ago 2010,"I2Z Technology, Llc",Multimedia communication and presentation
US7788184,23 Sep 2005,31 Ago 2010,Kane Larry J,Method for preventing identity theft
US7831619,30 May 2007,9 Nov 2010,International Business Machines Corporation,Method of and system for maximizing the return rate of dynamic inquiries into a population
US7853572,21 Mar 2005,14 Dic 2010,"Foundationip, Llc",Bulk download of documents from a system for managing documents
US7970843,29 Jul 2009,28 Jun 2011,Brown Scott T,E-mail messaging system and method for enhanced rich media delivery
US8092227,1 Jul 2003,10 Ene 2012,Sri International,Method and apparatus for group learning via sequential explanation templates
US8131684 *,21 Mar 2011,6 Mar 2012,Aumni Data Inc.,Adaptive archive data management
US8140584,9 Dic 2008,20 Mar 2012,Aloke Guha,Adaptive data classification for data mining
US8156192,24 May 2011,10 Abr 2012,Brown Scott T,E-mail messaging system and method for enhanced rich media delivery
US8266148,7 Oct 2009,11 Sep 2012,"Aumni Data, Inc.",Method and system for business intelligence analytics on unstructured data
US8312093,9 Mar 2012,13 Nov 2012,Brown Scott T,E-mail messaging system and method for enhanced rich media delivery
US8683328,20 Ago 2010,25 Mar 2014,Weald Remote Limited Liability Company,Multimedia communication and presentation
US20010037206 *,23 Feb 2001,1 Nov 2001,"Vivonet, Inc.",Method and system for automatically generating questions and receiving customer feedback for each transaction
US20020019850 *,19 Jul 2001,14 Feb 2002,Nec Corporation,Electronic mail service system
US20020063681 *,19 Oct 2001,30 May 2002,Lan Hsin Ting,Networked system for producing multimedia files and the method thereof
US20020078158 *,24 Ago 2001,20 Jun 2002,Brown Scott T.,E-mail messaging system and method for enhanced rich media delivery
US20020131566 *,5 Mar 2002,19 Sep 2002,Stark Richard M.,"Integrated telephone voice mail, electronic mail and audio play system and method"
US20040072136 *,1 Jul 2003,15 Abr 2004,Jeremy Roschelle,Method and apparatus for group learning via sequential explanation templates
US20040073616 *,10 Oct 2002,15 Abr 2004,International Business Machines Corporation,Grouping electronic reply messages
US20040177121 *,7 Mar 2003,9 Sep 2004,"Wegener Communications, Inc.",System and method for command transmission utilizing an email return path
US20040199400 *,17 Dic 2003,7 Oct 2004,Lundberg Steven W.,Internet-based patent and trademark application management system
US20040222972 *,26 Ene 2004,11 Nov 2004,"Planetweb, Inc., A California Corporation",Multimedia communication and presentation
US20050021419 *,31 Mar 2004,27 Ene 2005,Fung Hing Fai Freeman,Consumer-to-business (C2B) method for consolidating consumer powers in activating market economy
US20050034055 *,2 Sep 2004,10 Feb 2005,Rangan P. Venkat,Method and apparatus for providing calculated and solution-oriented personalized summary-reports to a user through a single user-interface
US20140317212 *,30 Jun 2014,23 Oct 2014,Linkedin Corporation,Inline media
USRE41450 *,14 Jul 2008,20 Jul 2010,"Tena Technology, Llc",Method and apparatus for selectively sharing and passively tracking communication device experiences
USRE41919,16 Abr 2009,9 Nov 2010,Steve Olivier,Rapid decryption of data by key synchronization and indexing
