date,city,state,venue
1/23/2013,Melbourne,Vic,170 Russell
1/28/2013,Claremont,WA,Claremont Showgrounds
2/4/2013,Honolulu,HI,The Republik
3/15/2013,Miami,FL,Bayfront Park
3/22/2013,Miami,FL,Bayfront Park
3/22/2013,Miami,FL,Bayfront Park
10/4/2013,Millvale,PA,Mr. Smalls Funhouse Theatre
10/5/2013,New York,NY,Le Poisson Rouge
10/10/2013,Vancouver,BC,Commodore Ballroom
10/11/2013,Portland,OR,Roseland Theater
10/12/2013,Seattle,WA,The Showbox
10/15/2013,Santa Ana,CA,The Observatory
10/18/2013,Los Angeles,CA,El Rey Theatre
10/19/2013,San Francisco,CA,Treasure Island
10/19/2013,San Francisco,CA,Treasure Island
10/20/2013,San Francisco,CA,Treasure Island
10/22/2013,Salt Lake City,UT,The Complex
10/23/2013,Denver,CO,Bluebird Theater
10/25/2013,Tulsa,OK,Cain's Ballroom
10/26/2013,Dallas,TX,Granada Theater
10/27/2013,Austin,TX,Stubbs BBQ
10/29/2013,Atlanta,GA,Center Stage Theatre
10/30/2013,Jacksonville,FL,Freebird Live
11/1/2013,Saint Petersburg,FL,State Theatre
11/2/2013,Fort Lauderdale,FL,Culture Room
11/4/2013,Orlando,FL,Venue 578
11/5/2013,Athens,GA,Georgia Theatre
11/6/2013,Raleigh,NC,Lincoln Theatre
11/8/2013,Nashville,TN,Marathon Music Works
11/9/2013,Columbus,OH,Newport Music Hall
11/10/2013,Chicago,IL,Metro
11/12/2013,Detroit,MI,Saint Andrews Hall
11/13/2013,Toronto,ON,Phoenix Concert Theatre
11/14/2013,Buffalo,NY,Town Ballroom
11/16/2013,Boston,MA,Royale Boston
11/17/2013,Clifton Park,NY,Upstate Concert Hall
11/19/2013,Washington,DC,9:30 Club
11/20/2013,Philadelphia,PA,Union Transfer
11/22/2013,New York,NY,Terminal 5
11/23/2013,New York,NY,Terminal 5
